osp_id,reviewer,category,manufacturer,year,test_id,building_code,test_criteria,weight_lbs,a_flx_h,a_rig_h,a_flx_v,a_rig_v,url,notes
OSP-0383,Eric Fagan,Chiller - Air Cooled,Carrier,2023,UUT-1,CBC 2022,AC156,4616,3.2,2.4,1.33,0.54,https://hcai.ca.gov/document/OSP-0383/,
OSP-0383,Eric Fagan,Chiller - Air Cooled,Carrier,2023,UUT-2,CBC 2022,AC156,5449,3.2,2.4,1.33,0.54,https://hcai.ca.gov/document/OSP-0383/,
OSP-0383,Eric Fagan,Chiller - Air Cooled,Carrier,2023,UUT-3,CBC 2022,AC156,16893,3.2,2.4,1.33,0.54,https://hcai.ca.gov/document/OSP-0383/,
OSP-0580,Eric Fagan,Chiller - Air Cooled,Advanced Cooling Technologies,2021,UUT-1,CBC 2019,ICC-ES AC156,640,3.2,2.4,1.68,0.68,https://hcai.ca.gov/document/OSP-0580/,
OSP-0580,Eric Fagan,Chiller - Air Cooled,Advanced Cooling Technologies,2021,UUT-2,CBC 2019,ICC-ES AC156,2130,3.2,2.4,1.68,0.68,https://hcai.ca.gov/document/OSP-0580/,
OSP-0580,Eric Fagan,Chiller - Air Cooled,Advanced Cooling Technologies,2021,UUT-3,CBC 2019,ICC-ES AC156,2920,3.2,2.4,1.68,0.68,https://hcai.ca.gov/document/OSP-0580/,
OSP-0624,Eric Fagan,Chiller - Air Cooled,Multistack,2023,UUT-1,CBC 2022,ICC-ES AC156,2534,3.2,2.4,1.34,0.54,https://hcai.ca.gov/document/OSP-0624/,
OSP-0624,Eric Fagan,Chiller - Air Cooled,Multistack,2023,UUT-2,CBC 2022,ICC-ES AC156,5928,3.2,2.4,1.34,0.54,https://hcai.ca.gov/document/OSP-0624/,
OSP-0673,Eric Fagan,Chiller - Air Cooled,Haskris,2021,UUT-1,CBC 2019,ICC-ES AC156,1080,3.2,2.4,1.68,0.68,https://hcai.ca.gov/document/OSP-0673/,
OSP-0673,Eric Fagan,Chiller - Air Cooled,Haskris,2021,UUT-2a (Neoprene pads),CBC 2019,ICC-ES AC156,4096,3.2,2.4,1.68,0.68,https://hcai.ca.gov/document/OSP-0673/,
OSP-0673,Eric Fagan,Chiller - Air Cooled,Haskris,2021,UUT-2a (Spring Isolators),CBC 2019,ICC-ES AC156,4096,3.2,2.4,1.68,0.68,https://hcai.ca.gov/document/OSP-0673/,
OSP-0758,Eric Fagan,Chiller - Air Cooled,Advanced Cooling Technologies,2023,UUT-1,CBC 2022,ICC-ES AC156,1440,3.2,2.4,1.67,0.67,https://hcai.ca.gov/document/OSP-0758/,
OSP-0170,Eric Fagan,Chiller - CT Scanners,KKT Chillers,2021,UUT-1,CBC 2019,ICC-ES AC156,1651,3.2,2.4,1.44,0.58,https://hcai.ca.gov/document/OSP-0170/,
OSP-0170,Eric Fagan,Chiller - CT Scanners,KKT Chillers,2021,UUT-2,CBC 2019,ICC-ES AC156,148,3.2,2.4,1.67,0.67,https://hcai.ca.gov/document/OSP-0170/,
OSP-0170,Eric Fagan,Chiller - CT Scanners,KKT Chillers,2021,UUTy-1,CBC 2019,ICC-ES AC156,1481,3.2,2.4,1.67,0.67,https://hcai.ca.gov/document/OSP-0170/,
OSP-0170,Eric Fagan,Chiller - CT Scanners,KKT Chillers,2021,UUTy-2,CBC 2019,ICC-ES AC156,163,3.2,2.4,1.67,0.67,https://hcai.ca.gov/document/OSP-0170/,
OSP-0461,Eric Fagan,Chiller - CT Scanners,Siemens,2022,UUT-1,CBC 2019,ICC-ES AC156,1047,3.2,2.4,1.67,0.67,https://hcai.ca.gov/document/OSP-0461/,
OSP-0461,Eric Fagan,Chiller - CT Scanners,Siemens,2022,UUTy-1,CBC 2019,ICC-ES AC156,1102,3.2,2.4,1.67,0.67,https://hcai.ca.gov/document/OSP-0461/,
OSP-0461,Eric Fagan,Chiller - CT Scanners,Siemens,2022,UUTy-2,CBC 2019,ICC-ES AC156,445,3.2,2.4,1.67,0.67,https://hcai.ca.gov/document/OSP-0461/,
OSP-0515,Eric Fagan,Chiller - CT Scanners,KKT Chillers,2022,UUT-1,CBC 2019,ICC-ES AC156,1300,3.2,2.4,1.67,0.67,https://hcai.ca.gov/document/OSP-0515/,
OSP-0515,Eric Fagan,Chiller - CT Scanners,KKT Chillers,2022,UUT-2,CBC 2019,ICC-ES AC156,1620,3.2,2.4,1.67,0.67,https://hcai.ca.gov/document/OSP-0515/,
OSP-0515,Eric Fagan,Chiller - CT Scanners,KKT Chillers,2022,UUT-3,CBC 2019,ICC-ES AC156,120,3.2,2.4,1.67,0.67,https://hcai.ca.gov/document/OSP-0515/,
OSP-0515,Eric Fagan,Chiller - CT Scanners,KKT Chillers,2022,UUT-4,CBC 2019,ICC-ES AC156,11,3.2,2.4,1.67,0.67,https://hcai.ca.gov/document/OSP-0515/,
OSP-0549,Eric Fagan,Chiller - CT Scanners,KKT Chillers,2022,UUT-1,CBC 2019,ICC-ES AC156,1740,3.2,2.4,1.67,0.67,https://hcai.ca.gov/document/OSP-0549/,
OSP-0550,Eric Fagan,Chiller - CT Scanners,KKT Chillers,2022,UUT-2,CBC 2019,ICC-ES AC156,171,3.2,2.4,1.67,0.67,https://hcai.ca.gov/document/OSP-0549/,
OSP-0045,Eric Fagan,Chiller - Water Cooled,Johnson Controls,2023,UUT-1,CBC 2022,ICC-ES AC156,16500,2.96,2.22,1.68,0.68,https://hcai.ca.gov/document/OSP-0045/,
OSP-0045,Eric Fagan,Chiller - Water Cooled,Johnson Controls,2023,UUT-2,CBC 2022,ICC-ES AC156,108000,2.96,2.22,1.68,0.68,https://hcai.ca.gov/document/OSP-0045/,
OSP-0045,Eric Fagan,Chiller - Water Cooled,Johnson Controls,2023,UUT-3,CBC 2022,ICC-ES AC156,20800,,,,,https://hcai.ca.gov/document/OSP-0045/,
OSP-0045,Eric Fagan,Chiller - Water Cooled,Johnson Controls,2023,UUT-4,CBC 2022,ICC-ES AC156,14400,,,,,https://hcai.ca.gov/document/OSP-0045/,
OSP-0045,Eric Fagan,Chiller - Water Cooled,Johnson Controls,2023,UUT-6,CBC 2022,ICC-ES AC156,2104,,,,,https://hcai.ca.gov/document/OSP-0045/,
OSP-0045,Eric Fagan,Chiller - Water Cooled,Johnson Controls,2023,UUT-7,CBC 2022,ICC-ES AC156,2522,,,,,https://hcai.ca.gov/document/OSP-0045/,
OSP-0116,Eric Fagan,Chiller - Water Cooled,Daikin Applied,2023,UUT-1,CBC 2022,ICC-ES AC156,5920,3.2,2.4,-,-,https://hcai.ca.gov/document/OSP-0116/,
OSP-0116,Eric Fagan,Chiller - Water Cooled,Daikin Applied,2023,UUT-2,CBC 2022,ICC-ES AC156,78781,2.56,1.92,1.07,0.43,https://hcai.ca.gov/document/OSP-0116/,
OSP-0116,Eric Fagan,Chiller - Water Cooled,Daikin Applied,2023,UUT-3,CBC 2022,ICC-ES AC156,9555,3.2,2.4,1.67,0.67,https://hcai.ca.gov/document/OSP-0116/,
OSP-0116,Eric Fagan,Chiller - Water Cooled,Daikin Applied,2023,UUT-5,CBC 2022,ICC-ES AC156,9170,3.2,2.4,1.67,0.67,https://hcai.ca.gov/document/OSP-0116/,
OSP-0116,Eric Fagan,Chiller - Water Cooled,Daikin Applied,2023,UUT-6,CBC 2022,ICC-ES AC156,944,3.2,2.4,1.67,0.67,https://hcai.ca.gov/document/OSP-0116/,
OSP-0116,Eric Fagan,Chiller - Water Cooled,Daikin Applied,2023,UUT-7,CBC 2022,ICC-ES AC156,944,3.2,2.4,1.67,0.67,https://hcai.ca.gov/document/OSP-0116/,
OSP-0150,Eric Fagan,Chiller - Water Cooled,Multistack,2022,UUT-1,CBC 2019,ICC-ES AC156,1150,3.09,3.32,1.29,0.51,https://hcai.ca.gov/document/OSP-0150/,
OSP-0150,Eric Fagan,Chiller - Water Cooled,Multistack,2022,UUT-2,CBC 2019,ICC-ES AC156,2270,3.09,2.32,1.29,0.51,https://hcai.ca.gov/document/OSP-0150/,
OSP-0150,Eric Fagan,Chiller - Water Cooled,Multistack,2022,UUT-3,CBC 2019,ICC-ES AC156,5930,3.09,2.32,1.29,0.51,https://hcai.ca.gov/document/OSP-0150/,
OSP-0150,Eric Fagan,Chiller - Water Cooled,Multistack,2022,UUT-4,CBC 2019,ICC-ES AC156,6730,3.09,2.32,1.29,0.51,https://hcai.ca.gov/document/OSP-0150/,
OSP-0150,Eric Fagan,Chiller - Water Cooled,Multistack,2022,UUT-5,CBC 2019,ICC-ES AC156,2520,3.09,2.32,1.29,0.51,https://hcai.ca.gov/document/OSP-0150/,
OSP-0150,Eric Fagan,Chiller - Water Cooled,Multistack,2022,UUT-6,CBC 2019,ICC-ES AC156,310,1.6,1.2,0.67,0.27,https://hcai.ca.gov/document/OSP-0150/,
OSP-0150,Eric Fagan,Chiller - Water Cooled,Multistack,2022,UUT-7,CBC 2019,ICC-ES AC156,2120,1.6,1.2,0.67,0.27,https://hcai.ca.gov/document/OSP-0150/,
OSP-0150,Eric Fagan,Chiller - Water Cooled,Multistack,2022,UUT-8,CBC 2019,ICC-ES AC156,1300,3.2,2.4,1.33,0.53,https://hcai.ca.gov/document/OSP-0150/,
OSP-0150,Eric Fagan,Chiller - Water Cooled,Multistack,2022,UUT-9,CBC 2019,ICC-ES AC156,2750,3.2,2.4,1.33,0.53,https://hcai.ca.gov/document/OSP-0150/,
OSP-0159,Eric Fagan,Chiller - Water Cooled,Johnson Controls,2023,UUT-2a,CBC 2022,ICC-ES AC156,11750,3.2,2.4,1.34,0.54,https://hcai.ca.gov/document/OSP-0159/,
OSP-0159,Eric Fagan,Chiller - Water Cooled,Johnson Controls,2023,UUT-2b,CBC 2022,ICC-ES AC156,11750,3.2,2.4,1.34,0.54,https://hcai.ca.gov/document/OSP-0159/,
OSP-0159,Eric Fagan,Chiller - Water Cooled,Johnson Controls,2023,UUT-3,CBC 2022,ICC-ES AC156,44246,3.2,2.4,1.68,0.68,https://hcai.ca.gov/document/OSP-0159/,
OSP-0159,Eric Fagan,Chiller - Water Cooled,Johnson Controls,2023,UUT-4,CBC 2022,ICC-ES AC156,44246,3.2,2.4,1.68,0.68,https://hcai.ca.gov/document/OSP-0159/,
OSP-0159,Eric Fagan,Chiller - Water Cooled,Johnson Controls,2023,UUT-5,CBC 2022,ICC-ES AC156,9300,,,,,https://hcai.ca.gov/document/OSP-0159/,
OSP-0161,Eric Fagan,Chiller - Water Cooled,Carrier,2022,UUT-1,CBC 2022,AC156,4717,4.0,3.0,1.68,0.68,https://hcai.ca.gov/document/OSP-0161/,
OSP-0161,Eric Fagan,Chiller - Water Cooled,Carrier,2022,UUT-2,CBC 2022,AC156,11029,4.0,3.0,1.68,0.68,https://hcai.ca.gov/document/OSP-0161/,
OSP-0167,Eric Fagan,Chiller - Water Cooled,Smardt,2022,UUT-1,CBC 2022,ICC-ES AC156,21000,3.2,2.4,1.34,0.54,https://hcai.ca.gov/document/OSP-0167/,
OSP-0167,Eric Fagan,Chiller - Water Cooled,Smardt,2022,UUT-2,CBC 2022,ICC-ES AC156,4700,3.2,2.4,1.34,0.54,https://hcai.ca.gov/document/OSP-0167/,
OSP-0167,Eric Fagan,Chiller - Water Cooled,Smardt,2022,UUT-3,CBC 2022,ICC-ES AC156,42800,3.14,2.35,1.31,0.53,https://hcai.ca.gov/document/OSP-0167/,
OSP-0168,Eric Fagan,Chiller - Water Cooled,Trane,2022,UUT-1a,CBC 2022,ICC-ES AC156,69475,1.86,1.39,0.77,0.31,https://hcai.ca.gov/document/OSP-0168/,
OSP-0168,Eric Fagan,Chiller - Water Cooled,Trane,2022,UUT-1b,CBC 2022,ICC-ES AC156,69475,1.86,1.39,0.77,0.31,https://hcai.ca.gov/document/OSP-0168/,
OSP-0168,Eric Fagan,Chiller - Water Cooled,Trane,2022,UUT-2a,CBC 2022,ICC-ES AC156,14370,1.47,1.1,0.62,0.25,https://hcai.ca.gov/document/OSP-0168/,
OSP-0168,Eric Fagan,Chiller - Water Cooled,Trane,2022,UUT-2b,CBC 2022,ICC-ES AC156,14370,2.16,1.62,0.9,0.36,https://hcai.ca.gov/document/OSP-0168/,
OSP-0406,Eric Fagan,Chiller - Water Cooled,Carrier,2023,UUT-1,CBC 2022,AC156,13770,3.2,2.4,1.33,0.54,https://hcai.ca.gov/document/OSP-0406/,
OSP-0406,Eric Fagan,Chiller - Water Cooled,Carrier,2023,UUT-2,CBC 2022,AC156,20223,3.2,2.4,1.33,0.54,https://hcai.ca.gov/document/OSP-0406/,
OSP-0406,Eric Fagan,Chiller - Water Cooled,Carrier,2023,UUT-3,CBC 2022,AC156,20370,3.2,2.4,1.33,0.54,https://hcai.ca.gov/document/OSP-0406/,
OSP-0406,Eric Fagan,Chiller - Water Cooled,Carrier,2023,UUT-4,CBC 2022,AC156,25093,3.2,2.4,1.33,0.54,https://hcai.ca.gov/document/OSP-0406/,
OSP-0548,Eric Fagan,Chiller - Water Cooled,Trane,2022,UUT-1,CBC 2022,ICC-ES AC156,60590,2.32,1.74,1.52,0.61,https://hcai.ca.gov/document/OSP-0548/,
OSP-0548,Eric Fagan,Chiller - Water Cooled,Trane,2022,UUT-2,CBC 2022,ICC-ES AC156,89550,2.32,1.74,1.52,0.61,https://hcai.ca.gov/document/OSP-0548/,
OSP-0601,Eric Fagan,Chiller - Water Cooled,Daikin Applied,2023,UUT-3,CBC 2022,ICC-ES AC156,9555,3.2,2.4,1.67,0.67,https://hcai.ca.gov/document/OSP-0601/,
OSP-0601,Eric Fagan,Chiller - Water Cooled,Daikin Applied,2023,UUT-4,CBC 2022,ICC-ES AC156,48490,3.2,2.4,1.67,0.67,https://hcai.ca.gov/document/OSP-0601/,
OSP-0610,Eric Fagan,Chiller - Water Cooled,Trane,2021,UUT-1,CBC 2019,ICC-ES AC156,21070,1.86,1.39,1.24,0.5,https://hcai.ca.gov/document/OSP-0610/,
OSP-0610,Eric Fagan,Chiller - Water Cooled,Trane,2021,UUT-2,CBC 2019,ICC-ES AC156,67500,1.86,1.39,1.24,0.5,https://hcai.ca.gov/document/OSP-0610/,
OSP-0759,Eric Fagan,Chiller - Water Cooled,Johnson Controls,2023,UUT-1,CBC 2022,ICC-ES AC156,22100,3.06,2.29,1.68,0.68,https://hcai.ca.gov/document/OSP-0759/,
OSP-0026,Eric Fagan,Chiller - Condenser,Carrier,2021,UUT-3,CBC 2019,AC156,15209,3.36,2.52,1.4,0.56,https://hcai.ca.gov/document/OSP-0026/,
OSP-0026,Eric Fagan,Chiller - Condenser,Carrier,2021,UUT-4,CBC 2019,AC156,60401,3.36,2.52,1.4,0.56,https://hcai.ca.gov/document/OSP-0026/,
OSP-0026,Eric Fagan,Chiller - Condenser,Carrier,2021,UUT-5,CBC 2019,AC156,68839,3.36,2.52,1.73,0.69,https://hcai.ca.gov/document/OSP-0026/,
OSP-0026,Eric Fagan,Chiller - Condenser,Carrier,2021,UUT-6a,CBC 2019,AC156,77334,2.64,1.97,1.76,0.71,https://hcai.ca.gov/document/OSP-0026/,
OSP-0026,Eric Fagan,Chiller - Condenser,Carrier,2021,UUT-6b,CBC 2019,AC156,78558,2.64,1.97,1.76,0.71,https://hcai.ca.gov/document/OSP-0026/,
OSP-0026,Eric Fagan,Chiller - Condenser,Carrier,2021,UUT-7,CBC 2019,AC156,106,3.2,2.4,1.67,0.67,https://hcai.ca.gov/document/OSP-0026/,
OSP-0026,Eric Fagan,Chiller - Condenser,Carrier,2021,UUT-8,CBC 2019,AC156,106,3.2,2.4,1.67,0.67,https://hcai.ca.gov/document/OSP-0026/,
OSP-0188,Eric Fagan,Chiller - Water Cooled,Trane,2016,UUT-1a,CBC 2016,ICC-ES AC156,5785,1.6,1.2,0.67,0.27,https://hcai.ca.gov/document/OSP-0188/,
OSP-0188,Eric Fagan,Chiller - Water Cooled,Trane,2016,UUT-1b,CBC 2016,ICC-ES AC156,5785,1.28,0.96,0.53,0.21,https://hcai.ca.gov/document/OSP-0188/,
OSP-0188,Eric Fagan,Chiller - Water Cooled,Trane,2016,UUT-2a,CBC 2016,ICC-ES AC156,10070,1.6,1.2,0.67,0.27,https://hcai.ca.gov/document/OSP-0188/,
OSP-0188,Eric Fagan,Chiller - Water Cooled,Trane,2016,UUT-2b,CBC 2016,ICC-ES AC156,10070,1.28,0.96,0.53,0.21,https://hcai.ca.gov/document/OSP-0188/,
OSP-0190,Eric Fagan,Chiller - Water Cooled,Trane,2011,UUT-1,,ASCE 7-05,8560,,,,,https://hcai.ca.gov/document/OSP-0190/,
OSP-0190,Eric Fagan,Chiller - Water Cooled,Trane,2011,UUT-2,,ASCE 7-05,21641,,,,,https://hcai.ca.gov/document/OSP-0190/,
OSP-0244,Eric Fagan,Chiller - Heat Exchangers,Ameridex,2012,UUT-1,CBC 2010,ICC-ES AC156,1520,2.5,1.0,1.68,0.68,https://hcai.ca.gov/document/OSP-0244/,
OSP-0244,Eric Fagan,Chiller - Heat Exchangers,Ameridex,2012,UUT-2,CBC 2010,ICC-ES AC156,125,3.2,2.4,1.34,0.54,https://hcai.ca.gov/document/OSP-0244/,
OSP-0135,Eric Fagan,Chiller - Air and Water Cooled,Carrier,2010,UUT-1,,ICC-ES AC156,4791,,,,,https://hcai.ca.gov/document/OSP-0135/,
OSP-0135,Eric Fagan,Chiller - Water Cooled,Carrier,2010,UUT-2,,ICC-ES AC156,16893,,,,,https://hcai.ca.gov/document/OSP-0135/,
OSP-0135,Eric Fagan,Chiller - Water Cooled,Carrier,2010,UUT-3,,ICC-ES AC156,20223,,,,,https://hcai.ca.gov/document/OSP-0135/,
OSP-0135,Eric Fagan,Chiller - Water Cooled,Carrier,2010,UUT-4,,ICC-ES AC156,25093,,,,,https://hcai.ca.gov/document/OSP-0135/,
OSP-0581,Eric Fagan,Chiller - Water Cooled,Trane,2020,UUT-1,CBC 2016,ICC-ES AC156,10900,3.2,2.4,1.51,0.61,https://hcai.ca.gov/document/OSP-0581/,
